Origin;Destination;Tarif
CDG;EWR;613.76
CDG;EWR;614.21
CDG;EWR;614.25
CDG;EWR;614.45
CDG;EWR;614.49
CDG;EWR;614.70
CDG;EWR;614.70
CDG;EWR;614.70
CDG;EWR;614.59
CDG;EWR;634.74
CDG;EWR;634.78
CDG;EWR;634.62
CDG;EWR;634.36
CDG;EWR;634.36
CDG;EWR;634.42
CDG;EWR;634.34
CDG;EWR;634.31
CDG;EWR;634.49
CDG;EWR;634.74
CDG;EWR;634.74
CDG;EWR;634.74
CDG;EWR;634.62
CDG;EWR;634.73
CDG;EWR;634.85
CDG;EWR;635.07
CDG;EWR;635.21
CDG;EWR;635.21
CDG;EWR;635.21
CDG;EWR;635.18
CDG;EWR;635.22
CDG;EWR;402.55
CDG;EWR;619.04
CDG;EWR;408.09
CDG;EWR;408.30
CDG;EWR;408.35
CDG;EWR;408.58
CDG;EWR;408.58
CDG;EWR;408.58
CDG;EWR;408.46
CDG;EWR;408.62
CDG;EWR;408.66
CDG;EWR;408.49
CDG;EWR;408.21
CDG;EWR;408.21
CDG;EWR;375.27
CDG;EWR;375.18
CDG;EWR;375.15
CDG;EWR;375.35
CDG;EWR;375.62
CDG;EWR;375.62
CDG;EWR;375.62
CDG;EWR;375.49
CDG;EWR;375.61
CDG;EWR;375.74
CDG;EWR;375.98
CDG;EWR;376.13
CDG;EWR;376.13
CDG;EWR;376.13
CDG;EWR;376.10
CDG;EWR;376.14
CDG;JFK;613.76
CDG;JFK;614.21
CDG;JFK;614.25
CDG;JFK;614.45
CDG;JFK;614.49
CDG;JFK;614.70
CDG;JFK;614.70
CDG;JFK;614.70
CDG;JFK;614.59
CDG;JFK;634.74
CDG;JFK;634.78
CDG;JFK;634.62
CDG;JFK;634.36
CDG;JFK;634.36
CDG;JFK;634.42
CDG;JFK;634.34
CDG;JFK;634.31
CDG;JFK;634.49
CDG;JFK;634.74
CDG;JFK;634.74
CDG;JFK;634.74
CDG;JFK;634.62
CDG;JFK;634.73
CDG;JFK;634.85
CDG;JFK;635.07
CDG;JFK;635.21
CDG;JFK;635.21
CDG;JFK;635.21
CDG;JFK;635.18
CDG;JFK;635.22
CDG;JFK;397.76
CDG;JFK;614.21
CDG;JFK;403.25
CDG;JFK;403.45
CDG;JFK;403.49
CDG;JFK;403.70
CDG;JFK;403.70
CDG;JFK;403.70
CDG;JFK;403.59
CDG;JFK;403.74
CDG;JFK;403.78
CDG;JFK;403.62
CDG;JFK;403.36
CDG;JFK;403.36
CDG;JFK;370.42
CDG;JFK;370.34
CDG;JFK;370.31
CDG;JFK;370.49
CDG;JFK;370.74
CDG;JFK;370.74
CDG;JFK;370.74
CDG;JFK;370.62
CDG;JFK;370.73
CDG;JFK;370.85
CDG;JFK;371.07
CDG;JFK;371.21
CDG;JFK;371.21
CDG;JFK;371.21
CDG;JFK;371.18
CDG;JFK;371.22
CDG;LGA;618.55
CDG;LGA;619.04
CDG;LGA;619.09
CDG;LGA;619.30
CDG;LGA;619.35
CDG;LGA;619.58
CDG;LGA;619.58
CDG;LGA;619.58
CDG;LGA;619.46
CDG;LGA;639.62
CDG;LGA;639.66
CDG;LGA;639.49
CDG;LGA;639.21
CDG;LGA;639.21
CDG;LGA;639.27
CDG;LGA;639.18
CDG;LGA;639.15
CDG;LGA;639.35
CDG;LGA;639.62
CDG;LGA;639.62
CDG;LGA;639.62
CDG;LGA;639.49
CDG;LGA;639.61
CDG;LGA;639.74
CDG;LGA;639.98
CDG;LGA;640.13
CDG;LGA;640.13
CDG;LGA;640.13
CDG;LGA;640.10
CDG;LGA;640.14
CDG;LGA;402.55
CDG;LGA;619.04
CDG;LGA;408.09
CDG;LGA;408.30
CDG;LGA;408.35
CDG;LGA;408.58
CDG;LGA;408.58
CDG;LGA;408.58
CDG;LGA;408.46
CDG;LGA;408.62
CDG;LGA;408.66
CDG;LGA;408.49
CDG;LGA;408.21
CDG;LGA;408.21
CDG;LGA;375.27
CDG;LGA;375.18
CDG;LGA;375.15
CDG;LGA;375.35
CDG;LGA;375.62
CDG;LGA;375.62
CDG;LGA;375.62
CDG;LGA;375.49
CDG;LGA;375.61
CDG;LGA;375.74
CDG;LGA;375.98
CDG;LGA;376.13
CDG;LGA;376.13
CDG;LGA;376.13
CDG;LGA;376.10
CDG;LGA;376.14
ORY;JFK;611.24
ORY;JFK;611.69
ORY;JFK;611.73
ORY;JFK;611.93
ORY;JFK;611.97
ORY;JFK;612.18
ORY;JFK;612.18
ORY;JFK;612.18
ORY;JFK;612.07
ORY;JFK;632.22
ORY;JFK;632.26
ORY;JFK;632.10
ORY;JFK;631.84
ORY;JFK;631.84
ORY;JFK;631.90
ORY;JFK;631.82
ORY;JFK;631.79
ORY;JFK;631.97
ORY;JFK;632.22
ORY;JFK;632.22
ORY;JFK;632.22
ORY;JFK;632.10
ORY;JFK;632.21
ORY;JFK;632.33
ORY;JFK;632.55
ORY;JFK;632.69
ORY;JFK;632.69
ORY;JFK;632.69
ORY;JFK;632.66
ORY;JFK;632.70
ORY;JFK;397.44
ORY;JFK;613.89
ORY;JFK;402.93
ORY;JFK;403.13
ORY;JFK;403.17
ORY;JFK;403.38
ORY;JFK;403.38
ORY;JFK;403.38
ORY;JFK;403.27
ORY;JFK;403.42
ORY;JFK;403.46
ORY;JFK;403.30
ORY;JFK;403.04
ORY;JFK;403.04
ORY;JFK;370.10
ORY;JFK;370.02
ORY;JFK;369.99
ORY;JFK;370.17
ORY;JFK;370.42
ORY;JFK;370.42
ORY;JFK;370.42
ORY;JFK;370.30
ORY;JFK;370.41
ORY;JFK;370.53
ORY;JFK;370.75
ORY;JFK;370.89
ORY;JFK;370.89
ORY;JFK;370.89
ORY;JFK;370.86
ORY;JFK;370.90
